"File","Line","Property","CurrentAttribute"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\App_vwCandidateHomeAccount.cs","15","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\App_vwDocCreditNote.cs","24","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\App_vwDocDebitNote.cs","24","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\App_vwDocPurchaseEnquiry.cs","30","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\App_vwDocPurchaseOrder.cs","30","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\App_vwDocQuotation.cs","30","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\App_vwDocSalesInvoice.cs","24","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\App_vwDocSalesOrder.cs","28","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\App_vwWarehouseOrg.cs","15","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\Cash_vwAccountStatementListing.cs","56","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\Cash_vwPaymentsListing.cs","15","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\Cash_vwStatement.cs","15","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\Cash_vwStatementReserve.cs","24","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\Cash_vwStatementWhatIf.cs","15","SubjectCode","[StringLength(10)]"
